location,property_type,area,rooms,bathrooms,floor_number,total_floors,age_of_property,furnishing_status,parking_spaces,near_metro,gated,near_school,near_it_park,pool,gym,security,garden,clubhouse,play_area,backup,rainwater,ev_charging,cctv,intercom,rooftop,price
Thanisandra,Independent House,4162,4,3,1,9,10,Semi-Furnished,0,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,43191922
CV Raman Nagar,Apartment,1138,2,1,4,19,0,Fully-Furnished,0,1,1,0,0,0,1,0,0,1,1,1,0,0,0,0,1,12423548
Padmanabhanagar,Apartment,535,1,1,11,19,10,Fully-Furnished,1,1,0,1,1,0,1,1,1,0,1,0,1,1,1,1,1,6248980
Outer Ring Road,Apartment,2134,3,3,7,19,10,Fully-Furnished,2,1,1,0,1,1,0,1,0,1,1,1,1,1,0,0,0,29166740
Magadi Road,Penthouse,4310,4,5,7,18,10,Fully-Furnished,2,1,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,45482658
Panathur,Independent House,594,1,1,6,11,0,Fully-Furnished,2,0,0,1,1,1,0,0,1,0,1,0,1,0,0,1,0,7649187
Kanakapura Road,Villa,1140,2,3,15,15,0,Fully-Furnished,1,1,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,17798459
Outer Ring Road,Apartment,4113,4,5,7,19,15,Semi-Furnished,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,53557593
Kengeri,Penthouse,1522,3,2,7,11,5,Fully-Furnished,1,0,1,0,1,0,0,0,1,0,0,0,0,1,1,1,0,17467392
Kengeri,Villa,4069,4,4,15,18,0,Fully-Furnished,0,1,1,0,0,0,0,1,0,0,1,1,1,0,1,1,0,48026810
Hoodi,Penthouse,1957,3,3,3,8,5,Semi-Furnished,2,1,1,0,1,0,1,1,1,0,1,0,1,1,0,0,1,30609499
Electronic City Phase 1,Penthouse,4094,4,3,6,10,15,Unfurnished,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,40280475
Yeshwanthpur,Villa,3871,4,4,15,16,10,Fully-Furnished,0,0,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,56691273
Electronic City Phase 1,Penthouse,3256,4,4,6,17,2,Fully-Furnished,1,1,0,1,1,1,1,0,1,0,0,1,0,1,0,1,0,34052088
Sadashivanagar,Penthouse,1103,2,1,15,17,5,Fully-Furnished,2,0,1,1,1,1,0,0,0,1,0,0,1,0,0,1,0,34537956
KR Puram,Apartment,720,1,1,10,10,5,Semi-Furnished,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1,1,1,7788616
Indiranagar,Penthouse,1756,3,4,5,7,10,Semi-Furnished,2,1,1,1,1,0,1,1,0,0,1,1,1,1,0,1,1,43279745
Hosur Road,Apartment,3078,4,4,7,16,5,Unfurnished,2,1,0,0,0,1,1,0,1,0,0,1,1,1,0,0,0,27578005
Hebbal,Villa,1393,2,2,15,17,5,Unfurnished,1,0,0,0,1,1,0,1,0,1,0,1,1,1,1,1,0,25572008
Sarjapur Road,Penthouse,825,1,1,10,19,2,Fully-Furnished,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,12594027
Rayan Circle,Penthouse,916,2,2,3,18,15,Semi-Furnished,1,1,0,1,1,0,1,0,1,1,0,1,1,0,0,1,0,14480081
Marathahalli,Apartment,535,1,1,10,13,2,Fully-Furnished,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,6092744
Uttarahalli,Villa,715,1,1,5,13,0,Unfurnished,2,0,0,1,1,1,0,1,0,0,1,1,0,0,1,1,1,10602087
Old Airport Road,Penthouse,2816,4,3,2,12,15,Unfurnished,0,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,53170178
Magadi Road,Apartment,2153,3,3,10,20,5,Semi-Furnished,0,1,0,0,0,0,1,0,1,0,0,1,0,1,1,1,0,16948000
Padmanabhanagar,Villa,1808,3,2,6,8,10,Unfurnished,0,1,0,1,0,1,0,1,0,0,1,1,1,1,0,0,0,24151315
Vijayanagar,Penthouse,610,1,1,4,4,0,Fully-Furnished,2,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1,1,10100296
Thanisandra,Penthouse,4060,4,4,8,11,15,Unfurnished,1,0,1,1,1,0,0,1,0,0,0,1,0,0,1,1,1,56554106
Indiranagar,Penthouse,4349,4,3,4,16,15,Fully-Furnished,0,1,0,1,0,1,0,1,0,1,1,1,1,1,0,1,0,103715397
Whitefield,Penthouse,1860,3,2,13,14,2,Semi-Furnished,2,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,30400701
Bellandur,Independent House,1289,2,3,2,7,10,Semi-Furnished,2,1,1,1,0,1,0,1,1,1,1,0,1,0,1,1,1,18391717
Jayanagar,Villa,2017,3,2,2,18,10,Semi-Furnished,2,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,1,46571837
Bannerghatta Road,Independent House,2062,3,3,9,15,10,Semi-Furnished,2,0,1,0,1,0,1,1,1,0,1,0,0,1,1,1,0,21024772
Yeshwanthpur,Apartment,2151,3,4,12,17,2,Fully-Furnished,2,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,1,23267826
JP Nagar,Apartment,2159,3,4,4,16,2,Unfurnished,0,0,1,0,1,1,0,1,1,1,0,0,1,1,0,1,1,25311053
Electronic City Phase 2,Villa,3324,4,5,13,15,2,Fully-Furnished,0,0,1,1,0,0,1,0,0,1,1,0,1,0,0,1,1,34593622
Hennur Road,Apartment,3219,4,5,11,14,10,Unfurnished,1,0,1,0,1,0,0,0,1,1,0,1,1,0,0,0,1,34902565
CV Raman Nagar,Independent House,3276,4,3,9,12,5,Unfurnished,0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,32389056
Hebbal,Apartment,691,1,1,12,19,0,Fully-Furnished,1,1,0,1,0,1,0,0,1,0,0,1,1,0,1,1,0,9897701
Frazer Town,Penthouse,661,1,1,9,12,0,Unfurnished,0,1,1,1,1,0,0,1,1,0,1,1,0,1,1,1,1,14702963
Brookefield,Independent House,4038,4,5,15,17,15,Semi-Furnished,0,0,1,0,1,1,0,0,1,1,1,1,1,0,1,1,1,50230806
Magadi Road,Villa,2955,4,4,1,3,10,Semi-Furnished,2,0,0,1,0,0,0,0,1,1,1,0,0,1,1,1,1,33157460
Hosur Road,Independent House,1476,3,3,10,20,5,Unfurnished,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,1,0,13532411
Banaswadi,Apartment,1757,3,4,11,12,15,Fully-Furnished,1,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,16775157
Devanahalli,Penthouse,4143,4,4,2,6,5,Fully-Furnished,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,1,1,43329220
Panathur,Independent House,2106,3,2,9,18,15,Unfurnished,2,0,0,0,1,0,0,0,0,1,0,1,0,1,1,1,1,21417786
Chandapura,Penthouse,1945,3,3,2,3,2,Semi-Furnished,1,1,0,1,0,1,1,1,1,0,1,0,1,0,1,0,1,16322342
Outer Ring Road,Independent House,627,1,1,1,10,10,Fully-Furnished,1,0,1,1,0,0,1,1,1,1,1,0,0,1,1,0,0,9311440
Hoodi,Apartment,740,1,1,9,16,15,Fully-Furnished,2,1,0,0,1,0,1,1,1,1,0,1,0,0,1,1,0,9149558
JP Nagar,Penthouse,1797,3,4,3,7,0,Semi-Furnished,1,1,0,0,1,0,0,0,0,1,1,1,0,0,1,1,0,28556471
Anjanapura,Villa,1467,3,4,15,20,15,Semi-Furnished,1,1,1,0,1,1,0,1,1,0,0,1,0,1,0,0,0,15975241
Kengeri,Apartment,1253,2,1,14,16,10,Unfurnished,1,0,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,10544201
Outer Ring Road,Villa,1950,3,2,9,13,2,Fully-Furnished,2,1,1,1,1,1,0,1,1,1,0,1,0,1,0,1,1,38795918
Panathur,Penthouse,1215,2,1,8,16,5,Unfurnished,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,16613795
Nagarbhavi,Independent House,2037,3,3,9,19,0,Unfurnished,2,0,0,0,1,0,0,1,1,0,1,0,0,1,0,1,1,20568609
Nagarbhavi,Penthouse,983,2,3,14,16,2,Unfurnished,1,1,1,0,0,1,1,0,0,1,1,1,0,1,0,0,0,13714183
Mahadevapura,Independent House,668,1,1,8,14,2,Semi-Furnished,1,1,0,1,1,0,0,0,1,1,0,1,1,0,1,1,0,8796486
Rajajinagar,Penthouse,1310,2,2,11,17,15,Semi-Furnished,2,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,25256679
JP Nagar,Penthouse,788,1,1,14,15,15,Semi-Furnished,1,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,1,11883438
Kadugodi,Penthouse,1092,2,1,13,18,10,Semi-Furnished,1,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,0,14051720
Hoodi,Independent House,1696,3,2,3,4,10,Fully-Furnished,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,19080325
Hosur Road,Villa,1757,3,2,9,11,15,Unfurnished,1,1,0,0,1,1,0,1,1,1,1,1,0,1,1,0,1,22046596
Sarjapur Road,Villa,1171,2,2,1,18,10,Semi-Furnished,2,0,1,0,1,0,1,0,1,1,0,0,0,1,1,0,0,18043151
Chandapura,Independent House,2780,4,3,10,14,0,Unfurnished,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,17133752
RT Nagar,Villa,1279,2,2,10,16,0,Fully-Furnished,0,0,0,1,1,1,0,0,1,0,1,0,1,1,1,1,1,20758017
Whitefield,Villa,1168,2,1,15,16,15,Fully-Furnished,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,19459647
Indiranagar,Penthouse,508,1,1,0,16,5,Fully-Furnished,1,1,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,13577052
Sarjapur Road,Villa,782,1,1,1,3,10,Semi-Furnished,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,12092837
Varthur,Apartment,1320,2,2,0,6,15,Unfurnished,2,1,0,1,0,0,1,1,1,0,0,1,0,0,1,0,0,13554568
Padmanabhanagar,Penthouse,1814,3,2,8,20,10,Semi-Furnished,0,1,1,0,1,0,1,0,0,0,1,0,1,0,1,1,1,22650963
Domlur,Apartment,1641,3,3,11,15,0,Unfurnished,0,1,1,1,0,0,0,1,0,1,1,0,1,1,1,0,0,25274371
Bannerghatta Road,Independent House,2897,4,3,4,12,5,Semi-Furnished,1,0,0,1,1,1,1,1,0,1,1,0,1,0,1,0,0,28746528
Indiranagar,Penthouse,2116,3,4,12,17,10,Semi-Furnished,1,0,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,51671873
Basavanagudi,Independent House,1325,2,3,0,14,2,Semi-Furnished,1,0,1,1,0,1,0,1,0,1,1,0,1,1,1,1,0,21443496
Kengeri,Apartment,813,1,1,7,17,5,Unfurnished,2,0,1,1,1,0,0,0,1,0,0,1,1,1,1,0,1,7459277
RT Nagar,Apartment,1801,3,3,2,5,2,Semi-Furnished,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,1,0,20275216
Chandapura,Independent House,1390,2,3,5,10,5,Fully-Furnished,1,1,0,1,0,0,1,1,0,0,1,1,1,0,0,0,1,9599435
Yeshwanthpur,Apartment,558,1,1,5,16,5,Unfurnished,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1,0,0,6528507
Basavanagudi,Independent House,1591,3,4,4,20,10,Semi-Furnished,2,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1,25123383
Bellandur,Penthouse,2638,4,4,15,18,10,Semi-Furnished,0,0,0,1,0,1,0,1,0,1,1,0,0,1,1,0,1,47393346
Marathahalli,Penthouse,678,1,1,7,11,0,Semi-Furnished,1,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,1,10384066
Kadugodi,Villa,2121,3,4,3,7,10,Unfurnished,1,0,0,0,0,1,0,1,1,0,1,1,1,1,0,0,1,29166924
Rayan Circle,Villa,1545,3,3,15,17,15,Unfurnished,2,1,1,0,1,0,1,0,1,1,1,1,1,0,1,1,0,25661837
Old Airport Road,Penthouse,719,1,1,3,8,10,Semi-Furnished,0,0,0,1,0,1,0,1,1,0,1,0,0,1,1,0,1,14023633
Domlur,Apartment,615,1,1,6,13,0,Unfurnished,2,1,0,0,1,0,1,0,1,0,0,1,0,0,0,1,1,10314395
Rajajinagar,Penthouse,1212,2,3,4,6,15,Fully-Furnished,0,0,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,23590111
Outer Ring Road,Villa,811,1,1,7,15,15,Fully-Furnished,2,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,16006479
Mahadevapura,Independent House,4229,4,5,13,18,15,Fully-Furnished,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,1,48273628
KR Puram,Apartment,1248,2,1,10,16,15,Fully-Furnished,2,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,12424387
Indiranagar,Independent House,3400,4,4,8,10,5,Unfurnished,2,0,0,1,1,1,0,1,0,1,1,1,0,1,0,1,0,61263754
Electronic City Phase 2,Apartment,506,1,1,7,18,15,Unfurnished,0,0,0,1,1,1,0,0,0,1,0,1,0,1,1,1,0,3500449
Hebbal,Apartment,535,1,1,5,12,15,Unfurnished,1,1,1,1,1,0,1,0,1,0,1,1,0,1,1,1,0,7149021
BTM Layout,Independent House,1225,2,1,13,13,2,Fully-Furnished,1,0,1,0,1,1,0,0,0,1,1,0,0,1,0,0,0,15207503
Hennur Road,Villa,3915,4,5,2,20,0,Fully-Furnished,0,0,0,1,0,0,1,1,1,1,1,1,1,1,0,0,0,61707236
Electronic City Phase 2,Apartment,961,2,1,5,19,10,Semi-Furnished,1,1,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,7211311
Devanahalli,Apartment,2013,3,3,5,5,10,Semi-Furnished,2,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,15963929
Frazer Town,Independent House,2507,4,3,2,12,0,Unfurnished,1,0,1,1,1,0,1,1,0,1,0,0,1,1,1,0,0,39406968
Anjanapura,Independent House,1842,3,3,13,20,0,Unfurnished,1,0,1,0,0,0,1,1,1,1,1,1,1,1,0,0,1,14782060
Sarjapur Road,Apartment,1613,3,2,15,19,5,Fully-Furnished,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,1,0,17320231
Bellandur,Penthouse,2066,3,2,15,15,0,Unfurnished,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,36921327
Hebbal,Penthouse,723,1,1,10,14,5,Unfurnished,0,1,1,0,1,0,0,1,1,1,0,0,0,1,0,0,1,12443139
Sarjapur Road,Apartment,2987,4,3,10,11,2,Semi-Furnished,1,0,1,1,0,1,0,0,0,1,1,0,0,0,1,1,1,31412209
Hennur Road,Penthouse,3223,4,4,12,13,10,Fully-Furnished,2,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0,47383208
Padmanabhanagar,Penthouse,527,1,1,13,15,15,Semi-Furnished,0,0,1,0,0,1,1,1,1,0,0,0,1,1,0,0,1,6365050
Thanisandra,Apartment,1624,3,4,15,16,0,Unfurnished,0,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1,0,18343514
Malleswaram,Villa,2919,4,4,8,11,5,Fully-Furnished,0,0,0,1,1,0,0,1,1,1,0,1,1,0,1,0,0,71335137
Electronic City Phase 1,Penthouse,1116,2,1,6,18,2,Unfurnished,0,0,1,0,0,1,1,0,0,1,1,1,1,1,0,1,0,11764807
Sadashivanagar,Independent House,710,1,1,3,6,5,Fully-Furnished,1,1,1,1,1,0,0,1,1,0,1,0,1,1,0,0,1,17160815
Hebbal,Apartment,1550,3,3,9,13,10,Fully-Furnished,2,0,0,1,1,1,1,1,0,0,1,0,1,1,1,0,0,20264402
KR Puram,Penthouse,1027,2,3,0,5,2,Unfurnished,0,0,1,0,1,0,1,1,1,1,0,0,0,1,1,1,0,14054157
Uttarahalli,Villa,1845,3,2,8,19,0,Semi-Furnished,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,23788572
Chandapura,Villa,1927,3,3,12,17,10,Semi-Furnished,0,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,16481579
Sadashivanagar,Independent House,835,1,1,12,17,2,Fully-Furnished,0,1,1,1,1,1,1,0,0,1,0,1,1,1,0,0,1,19811172
RT Nagar,Independent House,1678,3,4,5,15,0,Unfurnished,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,1,1,19177187
Jayanagar,Independent House,1061,2,1,10,16,15,Semi-Furnished,0,0,0,1,1,0,1,0,0,1,1,0,0,0,1,0,0,16537664
Thanisandra,Penthouse,3116,4,4,15,18,0,Unfurnished,2,1,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,44601289
KR Puram,Villa,3771,4,5,10,16,2,Semi-Furnished,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,52041527
Jayanagar,Apartment,563,1,1,1,4,10,Semi-Furnished,1,1,1,0,0,0,1,1,0,1,0,1,0,0,1,0,0,9477458
Bellandur,Independent House,1490,3,4,6,11,10,Semi-Furnished,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,20134469
Kadugodi,Villa,3580,4,3,3,8,0,Semi-Furnished,1,1,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,48938222
Devanahalli,Penthouse,2162,3,3,15,18,2,Unfurnished,0,0,0,0,1,1,1,0,1,1,0,0,1,1,0,1,1,22964352
Frazer Town,Villa,2154,3,2,7,17,5,Fully-Furnished,2,0,1,0,1,1,1,0,0,0,0,1,1,0,0,1,1,48660796
Brookefield,Villa,540,1,1,7,15,10,Semi-Furnished,0,1,1,1,0,1,1,1,0,1,0,0,1,1,0,0,0,10249376
Anjanapura,Villa,1332,2,3,14,16,5,Unfurnished,0,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,14632971
Rajajinagar,Penthouse,701,1,1,8,17,2,Unfurnished,0,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,14120412
Electronic City Phase 2,Independent House,1210,2,3,4,7,10,Fully-Furnished,2,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0,0,10157949
Anjanapura,Villa,2102,3,4,4,9,15,Fully-Furnished,2,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,1,23113613
Bommasandra,Independent House,1658,3,4,8,10,0,Fully-Furnished,1,0,1,1,0,0,1,0,1,0,1,1,1,1,0,0,1,12541076
Anjanapura,Penthouse,1000,2,3,11,20,15,Fully-Furnished,2,0,1,1,0,0,0,0,0,1,0,1,1,1,0,0,1,10567959
Brookefield,Penthouse,1215,2,1,4,14,15,Unfurnished,2,1,1,1,0,1,0,0,0,0,1,1,0,1,0,0,1,20544624
Hebbal,Villa,1077,2,3,15,19,0,Unfurnished,2,1,0,0,0,1,1,0,1,1,1,0,1,1,1,0,1,20956388
Bellandur,Villa,820,1,1,3,8,15,Fully-Furnished,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,15430319
Bommasandra,Villa,822,1,1,7,11,10,Semi-Furnished,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,8204248
Yelahanka,Penthouse,700,1,1,15,16,15,Unfurnished,0,1,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,8981154
JP Nagar,Independent House,992,2,1,7,16,5,Unfurnished,0,0,1,0,1,0,1,0,0,1,1,1,0,0,0,1,0,11328448
Mahadevapura,Penthouse,3792,4,4,9,20,15,Unfurnished,2,1,1,0,0,1,0,0,1,1,1,0,1,1,1,1,1,58665195
Sahakara Nagar,Apartment,1034,2,3,2,10,2,Fully-Furnished,0,0,0,0,0,1,0,0,1,1,0,1,1,0,1,0,1,12479732
JP Nagar,Apartment,4405,4,4,0,7,15,Fully-Furnished,0,0,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0,49400531
Marathahalli,Villa,2722,4,4,14,14,0,Fully-Furnished,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,0,41382727
Rajajinagar,Penthouse,995,2,1,2,18,5,Unfurnished,0,0,1,0,0,1,1,0,1,1,1,0,0,1,0,0,0,19187548
Hosur Road,Independent House,1032,2,3,1,19,2,Unfurnished,0,0,1,0,1,0,0,1,1,1,0,0,1,0,0,1,0,9908482
Tumkur Road,Villa,2744,4,5,2,9,10,Semi-Furnished,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,29465134
Kengeri,Penthouse,1194,2,2,12,17,15,Fully-Furnished,2,0,1,0,1,1,0,0,1,1,1,0,0,0,0,0,1,13855990
Marathahalli,Villa,3338,4,4,3,7,10,Fully-Furnished,2,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,49963634
Basavanagudi,Independent House,3686,4,5,5,8,2,Fully-Furnished,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,56677853
Anjanapura,Villa,836,1,1,5,20,10,Unfurnished,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,8782674
Bellandur,Apartment,798,1,1,2,19,5,Fully-Furnished,2,1,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,12248110
Panathur,Villa,4187,4,4,15,16,5,Semi-Furnished,2,0,1,0,1,0,1,0,0,1,1,1,0,1,0,1,0,62048539
Tumkur Road,Villa,793,1,1,5,20,5,Semi-Furnished,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,8550070
Tumkur Road,Penthouse,752,1,1,1,16,5,Fully-Furnished,1,1,1,0,1,1,0,0,0,1,1,0,1,1,0,1,0,8980521
Bannerghatta Road,Penthouse,1553,3,4,0,0,2,Semi-Furnished,2,1,1,1,0,1,0,1,1,1,1,0,1,1,0,1,1,22208976
Devanahalli,Villa,3265,4,3,4,11,0,Fully-Furnished,1,1,1,0,0,0,1,0,0,1,1,0,1,1,1,1,0,37695752
Old Airport Road,Independent House,549,1,1,6,19,5,Semi-Furnished,2,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,9519146
JP Nagar,Penthouse,2986,4,3,12,16,10,Fully-Furnished,0,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,46049212
Uttarahalli,Penthouse,3330,4,3,5,5,2,Fully-Furnished,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,39630070
Yelahanka,Villa,1329,2,1,9,16,2,Unfurnished,2,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,20079916
Sarjapur Road,Apartment,2343,4,4,11,17,5,Unfurnished,1,0,0,1,1,1,0,1,1,1,0,1,1,0,0,1,0,24975868
Kanakapura Road,Penthouse,2624,4,3,5,17,10,Unfurnished,1,1,0,1,1,1,1,0,0,0,0,1,0,1,1,1,1,35030495
Mahadevapura,Apartment,964,2,1,0,5,0,Semi-Furnished,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1,0,1,12168860
CV Raman Nagar,Independent House,740,1,1,8,20,10,Unfurnished,2,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,7803012
Tumkur Road,Villa,1942,3,2,1,18,15,Unfurnished,1,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,20341496
Uttarahalli,Penthouse,1251,2,2,2,9,2,Semi-Furnished,0,1,0,0,1,0,0,0,1,0,1,1,1,0,0,1,1,15715018
Rajajinagar,Villa,777,1,1,15,20,10,Fully-Furnished,1,1,0,0,1,1,1,1,0,0,0,1,1,1,1,1,0,17182609
JP Nagar,Penthouse,932,2,1,11,20,2,Semi-Furnished,2,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,15111327
Sahakara Nagar,Independent House,769,1,1,1,19,10,Fully-Furnished,1,1,0,1,0,0,0,0,1,0,1,0,1,1,1,0,1,9236859
Malleswaram,Apartment,1686,3,2,6,14,0,Unfurnished,2,1,0,0,0,0,1,0,1,1,1,0,0,0,1,1,0,29513917
Padmanabhanagar,Penthouse,2193,3,3,10,15,10,Fully-Furnished,1,1,0,0,1,1,1,1,1,1,0,0,1,0,0,1,0,28132411
Sarjapur Road,Independent House,2035,3,2,8,16,15,Fully-Furnished,2,0,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,21674966
Frazer Town,Villa,3530,4,3,15,20,15,Unfurnished,2,0,1,0,0,1,1,1,1,0,0,0,1,0,1,0,1,77770578
Hosur Road,Independent House,1852,3,4,7,9,0,Fully-Furnished,2,1,0,0,1,1,1,0,0,1,0,1,0,1,1,0,1,18274899
Thanisandra,Independent House,1000,2,2,6,13,10,Fully-Furnished,2,0,0,0,1,1,1,0,0,1,1,1,1,0,1,1,0,11814812
Whitefield,Villa,3831,4,5,4,18,0,Unfurnished,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,0,65514904
